fecha, nombre_producto, precio_dia, precio_regular
2022-05-26,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-26,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-26,Galletitas Crackers Clásicas MEDIA TARDE Pack Familiar X3 Unidades Paq 315 Grm ,173.49,173.49
2022-05-26,Queso De Maquina . Xkg 1 Kgm ,829.0,1199.0
2022-05-26,Pure De Tomate SALSATI Tetrabrik 520 Gr ,77.54,77.54
2022-05-26,Tapa P/Pascualina Sin Tacc La Salteña Fwp 380 Grm ,335.0,335.0
2022-05-26,Pan Blanco . Bimbo Bsa 550 Grm ,405.99,405.99
2022-05-26,Pan De Mesa Blanco Lactal Bsa 500 Grm ,273.99,273.99
2022-05-26,Yogur Bebible Entero Vainilla Lechelita Sch 900 Grm ,136.0,136.0
2022-05-26,Rollo De Cocina CAMPANITA 180 Paños Paquete 3 Unidades ,279.99,279.99
2022-05-26,Manteca Multivitaminas La Serenísima 200gr ,326.6,326.6
2022-05-26,Pan Blanco Fargo Rodajas Finas Bsa 560 Grm ,260.2,260.2
2022-05-26,Harina Trigo 000 Morixe Paq 1 Kgm ,76.07,76.07
2022-05-26,Yerba Mate Suave PLAYADITO 500 Gr ,346.04,346.04
2022-05-26,Variedad Surtidas Terrabusi Paq 170 Grm ,114.99,114.99
2022-05-26,Azucar Superior Real Ledesma Paq 1 Kgm ,143.0,143.0
2022-05-26,Galletitas Crackers Clásicas Express Paq 101 Grm ,78.99,78.99
2022-05-26,Pulpa De Tomate SALSATI Tetrabrik 520 Gr ,99.08,99.08
2022-05-26,Leche Entera 3% Tenor Graso Lechelita Sch 1 Ltr ,103.0,103.0
2022-05-26,Agua Mineralizada Artificialmente Con Gas Bajo En Sodio Cellier 2 L ,77.65,77.65
2022-05-26,Manteca TONADITA Baja En Lactosa 200 Gr ,214.25,214.25
2022-05-26,Huevo Blanco Grand . Cja 12 Uni ,281.0,281.0
