fecha,nombre_producto,precio_dia,precio_regular
2022-05-15,Leche Descremada Menos Calorias LA SERENISIMA Botella Larga Vida 1l ,172.5,172.5
2022-05-15,Arroz Largo Fino GALLO Versátil Paquete 1 Kg ,113.0,113.0
2022-05-15,Banana Cavendish   Xkg ,139.0,139.0
2022-05-15,Yogur Bebible Parcialmente Descremado Frutilla Tregar Sch 1 Kgm ,183.8,183.8
2022-05-15,Penne Rigate MATARAZZO     Paquete 500 Gr ,129.48,129.48
2022-05-15,Atun Al Natural GOMES DA COSTA Lomo Lata 170 Gr ,239.0,239.0
2022-05-15,Lomo De Cerdo X KG ,899.9,899.9
2022-05-15,Lomo De Cerdo Cocido PALADINI Bli 120 Grm ,260.0,260.0
2022-05-15,Servilletas SUSSEX Ultramax 30x30 Paquete 150 Unidades ,138.99,138.99
2022-05-15,Servilletas CAMPANITA Soft 33x33 Paq 70 Uni ,77.99,77.99
2022-05-15,Servilletas Familiares X 1 Sussex Paq 140 Uni ,283.99,283.99
2022-05-15,Toallitas Desinfectantes Ayudín Fresco Flowpack 24 Un ,233.99,233.99
2022-05-15,Toallitas Desinfectantes AYUDÍN Limón Flowpack 24 Un ,232.99,232.99
2022-05-15,Toallitas Desinfectantes Ayudín Fresco Flowpack 36 Un ,332.99,332.99
2022-05-15,Toallitas Desinfectantes Ayudín Limón Doypack 35 Un ,320.99,320.99
2022-05-15,P.Higienico X4 Rollo 100 C Higienol Paq 40 M2 ,429.99,429.99
2022-05-15,Papel Higiénico CAMPANITA Soft Plus Xl Simple Hoja Paquete 4 Unidades ,423.99,423.99
2022-05-15,Bolsas De Residuos TASK 45 X 60 Cm 20 U. Pequeña Multiuso ,269.99,269.99
2022-05-15,Papel Higiénico HIGIENOL Max Hoja Simple Panal Paq 4 Unid X 80 Mts C/U ,453.99,453.99
2022-05-15,P.Higienico Hoja Simple X6 Elite Paq 18 M2 ,292.99,292.99
2022-05-15,Lavandina AYUDÍN Clásica 2 L ,228.99,228.99
2022-05-15,Lavandina Ayudín Clásica Botella 4 Lts ,433.99,433.99
2022-05-15,Lavandina Triple Poder L Ayudin Bot 2 Ltr ,253.99,253.99
2022-05-15,Fid.Semolin C/Hvo Nido Nº3 308 Paq 500 Grm ,198.9,198.9
2022-05-15,Ketchup Hellmann'S Regular 250 G Doypack ,146.42,146.42
2022-05-15,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-15,Fideos Rigatti Al Huevo Don Vicente Paq 500 Grm ,208.81,208.81
2022-05-15,Mostachol LUCCHETTI     Paquete 500 Gr ,104.97,104.97
2022-05-15,Fid.Semolin C/Hvo Nido N°2 308 Paq 500 Grm ,195.01,195.01
2022-05-15,Lasagna Matarazzo Paq 400 Grm ,285.78,285.78
2022-05-15,Harina De Trigo BLANCAFLOR  0000 Paquete 1 Kg ,121.39,121.39
2022-05-15,Harina De Trigo CHACABUCO Leudante Paquete 1 Kg ,119.84,119.84
2022-05-15,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm ,129.75,129.75
2022-05-15,Harina Leudante Cañuelas Paq 1 Kgm ,119.2,119.2
2022-05-15,Harina Trigo 000 BLANCAFLOR 1 Kg ,83.31,83.31
2022-05-15,Harina Trigo 000 Morixe Paq 1 Kgm ,76.07,76.07
2022-05-15,Jabon Liquido Limpieza Compl Ace Doy 3 Ltr ,969.99,969.99
2022-05-15,Jabon Liquido Todos Los Dias Woolite Doy 1500 Ml ,706.99,706.99
2022-05-15,Suavizante Concentrado Vivere Intense Abrazo Apretado 1 L ,577.99,577.99
2022-05-15,Jabón Líquido Ropa Fina ALA Camellito Lavado A Mano 450 Ml ,205.99,205.99
2022-05-15,Jabón Líquido Skip Regular Ph Balanceado 800 Ml Doypack ,305.99,305.99
2022-05-15,Shampoo PLUSBELLE Hidratación Botella 1000 Ml ,148.08,148.08
2022-05-15,Shampoo Suave Manzanilla Rubios 930 Ml ,251.99,251.99
2022-05-15,Shampoo Suave Lacio Antifrizz 930 Ml ,251.99,251.99
2022-05-15,Shampoo Detox C/Bio Pr Plusbelle Bot 1000 Ml ,326.99,326.99
2022-05-15,Shampoo Sedal Liso Perfecto 340 Ml ,240.5,240.5
2022-05-15,Shampo Niños Ph Balanceado Plusbelle Bot 700 Ml ,531.99,531.99
2022-05-15,Shampo Niños Sensación Natu Plusbelle Bot 700 Ml ,531.99,531.99
2022-05-15,Gomitas Tiburoncitos Frutti Gelatin Bol 30 Grm ,50.49,50.49
2022-05-15,Gomitas Frut/Gel Frutigelati Bsa 30 Grm ,50.49,50.49
2022-05-15,Gomitas Ositos Mogul Paq 30 Grm ,50.49,50.49
2022-05-15,Alfajor Terrabusi Chocolate 50 Gr X 1 Uni ,91.99,91.99
2022-05-15,Alfajor Bon O Bon  40 Gr X 1 Uni ,85.99,85.99
2022-05-15,Chocolate Con Leche C/Ma Georgalos Fwp 35 Grm ,82.99,82.99
2022-05-15,Chocolate Arcor Chocolate Cja 25 Grm ,66.99,66.99
2022-05-15,Chocolate Shot Con Mani Paq 35 Grm ,106.99,106.99
2022-05-15,Filtros Papel Nº4 MELITTA Caja 30 Unidades ,379.05,379.05
2022-05-15,Te . Rosamonte Cja 50 Uni ,165.0,165.0
2022-05-15,Te Negro Clásico X25 So Green Hills Cja 50 Grm ,124.59,124.59
