fecha,nombre_producto,precio_dia,precio_regular
2022-05-15,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-16,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-17,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-18,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-19,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-20,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-21,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-22,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-22,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-23,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-24,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-25,Galletitas . Criollitas Paq 300 Grm ,127.99,127.99
2022-05-15,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-16,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-17,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-18,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-19,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08,127.08
2022-05-20,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-21,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-22,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-22,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-23,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-24,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-25,Tirabuzon LUCCHETTI       Paquete 500 Gr ,133.31,133.31
2022-05-23,Galletitas Crackers Clásicas MEDIA TARDE Pack Familiar X3 Unidades Paq 315 Grm ,173.49,173.49
2022-05-24,Galletitas Crackers Clásicas MEDIA TARDE Pack Familiar X3 Unidades Paq 315 Grm ,173.49,173.49
2022-05-25,Galletitas Crackers Clásicas MEDIA TARDE Pack Familiar X3 Unidades Paq 315 Grm ,173.49,173.49
